Seance;Repetition;Prise;Paneliste;Produit;Descripteur;Score
520914233;1;1;S001;C1;Astringence;2
520914233;1;1;S001;C2;Astringence;2
520914233;1;1;S001;C3;Astringence;2
520914233;1;1;S001;C4;Astringence;1
520914233;1;1;S001;C5;Astringence;2
520914233;1;1;S001;C6;Astringence;1
520914233;1;1;S001;C7;Astringence;1
520914233;1;1;S001;C8;Astringence;2
520914233;1;1;S001;C9;Astringence;0
520914233;1;1;S002;C1;Astringence;2
520914233;1;1;S002;C2;Astringence;2
520914233;1;1;S002;C3;Astringence;2
520914233;1;1;S002;C4;Astringence;1
520914233;1;1;S002;C5;Astringence;2
520914233;1;1;S002;C6;Astringence;1
520914233;1;1;S002;C7;Astringence;1
520914233;1;1;S002;C8;Astringence;2
520914233;1;1;S002;C9;Astringence;0
520914233;1;1;S003;C1;Astringence;2
520914233;1;1;S003;C2;Astringence;2
520914233;1;1;S003;C3;Astringence;2
520914233;1;1;S003;C4;Astringence;1
520914233;1;1;S003;C5;Astringence;2
520914233;1;1;S003;C6;Astringence;1
520914233;1;1;S003;C7;Astringence;1
520914233;1;1;S003;C8;Astringence;2
520914233;1;1;S003;C9;Astringence;0
