Seance;Repetition;Prise;Paneliste;Produit;Descripteur;Score;Temps
520914233;1;1;S001;C1;START;1;0
520914233;1;1;S001;C1;C1_KO1;1;1.494
520914233;1;1;S001;C1;C1_OK;1;2.51
520914233;1;1;S001;C1;STOP;1;3.407
520914233;1;1;S001;C2;START;1;0
520914233;1;1;S001;C2;C2_OK;1;0.967
520914233;1;1;S001;C2;STOP;1;1.856
520914233;1;1;S001;C3;START;1;0
520914233;1;1;S001;C3;C3_OK;1;1.504
520914233;1;1;S001;C3;STOP;1;2.339
520914233;1;1;S001;C4;START;1;0
520914233;1;1;S001;C4;C4_OK;1;0.597
520914233;1;1;S001;C4;STOP;1;1.22
520914233;1;1;S001;C5;START;1;0
520914233;1;1;S001;C5;C5_OK;1;0.667
520914233;1;1;S001;C5;STOP;1;1.396
520914233;1;1;S001;C6;START;1;0
520914233;1;1;S001;C6;C6_OK;1;0.576
520914233;1;1;S001;C6;STOP;1;1.135
520914233;1;1;S001;C7;START;1;0
520914233;1;1;S001;C7;C7_OK;1;0.739
520914233;1;1;S001;C7;STOP;1;1.577
520914233;1;1;S001;C8;START;1;0
520914233;1;1;S001;C8;C8_OK;1;1.054
520914233;1;1;S001;C8;STOP;1;1.772
520914233;1;1;S001;C9;START;1;0
520914233;1;1;S001;C9;C9_OK;1;0.663
520914233;1;1;S001;C9;STOP;1;1.366
520914233;1;1;S002;C1;START;1;0
520914233;1;1;S002;C1;C1_OK;1;1.494
520914233;1;1;S002;C1;C1_KO1;1;2.51
520914233;1;1;S002;C1;STOP;1;3.407
520914233;1;1;S002;C2;START;1;0
520914233;1;1;S002;C2;C2_OK;1;0.967
520914233;1;1;S002;C2;STOP;1;1.856
520914233;1;1;S002;C3;START;1;0
520914233;1;1;S002;C3;C3_OK;1;1.504
520914233;1;1;S002;C3;STOP;1;2.339
520914233;1;1;S002;C4;START;1;0
520914233;1;1;S002;C4;C4_KO2;1;0.597
520914233;1;1;S002;C4;STOP;1;1.22
520914233;1;1;S002;C5;START;1;0
520914233;1;1;S002;C5;C5_OK;1;0.667
520914233;1;1;S002;C5;STOP;1;1.396
520914233;1;1;S002;C6;START;1;0
520914233;1;1;S002;C6;C6_OK;1;0.576
520914233;1;1;S002;C6;STOP;1;1.135
520914233;1;1;S002;C7;START;1;0
520914233;1;1;S002;C7;C7_KO1;1;0.739
520914233;1;1;S002;C7;STOP;1;1.577
520914233;1;1;S002;C8;START;1;0
520914233;1;1;S002;C8;C8_KO1;1;1.054
520914233;1;1;S002;C8;STOP;1;1.772
520914233;1;1;S002;C9;START;1;0
520914233;1;1;S002;C9;C9_OK;1;0.663
520914233;1;1;S002;C9;STOP;1;1.366
520914233;1;1;S003;C1;START;1;0
520914233;1;1;S003;C1;C1_OK;1;1.494
520914233;1;1;S003;C1;C1_KO1;1;2.51
520914233;1;1;S003;C1;STOP;1;3.407
520914233;1;1;S003;C2;START;1;0
520914233;1;1;S003;C2;C2_OK;1;0.967
520914233;1;1;S003;C2;STOP;1;1.856
520914233;1;1;S003;C3;START;1;0
520914233;1;1;S003;C3;C3_OK;1;1.504
520914233;1;1;S003;C3;STOP;1;2.339
520914233;1;1;S003;C4;START;1;0
520914233;1;1;S003;C4;C4_KO2;1;0.597
520914233;1;1;S003;C4;STOP;1;1.22
520914233;1;1;S003;C5;START;1;0
520914233;1;1;S003;C5;C5_OK;1;0.667
520914233;1;1;S003;C5;STOP;1;1.396
520914233;1;1;S003;C6;START;1;0
520914233;1;1;S003;C6;C6_OK;1;0.576
520914233;1;1;S003;C6;STOP;1;1.135
520914233;1;1;S003;C7;START;1;0
520914233;1;1;S003;C7;C7_KO1;1;0.739
520914233;1;1;S003;C7;STOP;1;1.577
520914233;1;1;S003;C8;START;1;0
520914233;1;1;S003;C8;C8_KO1;1;1.054
520914233;1;1;S003;C8;STOP;1;1.772
520914233;1;1;S003;C9;START;1;0
520914233;1;1;S003;C9;C9_KO2;1;0.663
520914233;1;1;S003;C9;STOP;1;1.366
